respondent.commune,business_name,place_id,fr_categories,business_address,treatment_arm
31001,Pizzeria L'escale,ChIJG9FZwMgWqRIRwxnhXmcRDCA,"Restaurant De Pizzas, Restaurant De Hamburgers, Kebab, Magasin De Salades, Restaurant De Tacos","12 Pl. Du Bourguet, L'Isle-en-Dodon",1
31001,Le Lion D’or,ChIJ2aZTd7EpqRIROFuHkoKRF6I,Restaurant Marocain,"8 Bis Bd Jean Jaurès, Cazères",1
31001,Restaurant Pizzeria Cazeres Hasso,ChIJt1OwtiIpqRIRrT3Zd-h5B9g,"Restaurant De Pizzas, Restaurant Halal, Pizza À Emporter, Restaurant, Magasin De Salades, Sandwicherie, Restaurant Turc","14 Pl. De L Hôtel De Ville, Cazères",1
31001,Le Bokit Des Antilles,ChIJyz7mihqhqRIRGtNZljQD63E,"Restaurant, Restaurant Africain, Restaurant Américain, Magasin De Bière, Restaurant De Restauration Rapide, Restaurant De Hamburgers, Kebab, Sandwicherie, Restaurant De Fruits De Mer, Restaurant Sud-Américain","11 Lot. Beaulieu, Masseube",1
31001,Snack I Kebab,ChIJr6iJOFgoqRIRc1pYG5WKhg8,Restaurant De Restauration Rapide,"Village, Saint-Julien-sur-Garonne",1
31001,Chez Jeanne La Fermière,ChIJ85LO5mg9qRIRpboKuZjFD0o,Restaurant Français,"Le Village, Riolas",0
31001,Le Lias,ChIJKyTfJXkRqRIRPkoB2t1O_x4,"Restaurant, Restaurant Français","Les 4 Routes, Molas",0
31001,La Maison Despouès,ChIJ-X-crxA_qRIR9z99i1P3kQA,Restaurant Haut De Gamme Français,"911 Route De Montadet, Puylausic",0
31001,Golf Barbet Club House,ChIJ_681JBYVqRIRPYUWJolXa_4,"Terrain De Golf, Restaurant Français","Route De Sauveterre, Lombez",0
31001,Les Filles De Barbet,ChIJOyGkBokVqRIR8E2dmrrR56o,Restaurant Brunch,"Chateau De Barbet, Lombez",0
31001,Restaurant Sabaï Siam Japonais Thaïlandais,ChIJU84vZmwXqRIRb-4d8t3nZSc,"Restaurant Thaïlandais, Restaurant Japonais De Style Kyoto, Restaurant À Emporter, Sushis À Emporter","6 Rue Droite, L'Isle-en-Dodon",2
31001,En-Cas Val,ChIJRYhG8RYdqRIRprmCKYXVWFw,Plats Chinois À Emporter,"247 Loubere, Cassagnabère-Tournas",2
31001,Thaï Food Charlas In Boulogne,ChIJYUXA-VgDqRIRU4gvjzQHr38,Restaurant Thaïlandais,"9 Pl. De La Promenade, Boulogne-sur-Gesse",2
31001,O Nemsushi,ChIJH9nmyckpqRIRyOj9vATeS5g,Restaurant Japonais,"65 Av. Pasteur, Cazères",2
31001,Les Dragons D'or,ChIJly0W-6QgqRIRKMtqOP9AYNI,"Restaurant Vietnamien, Restaurant Asiatique, Restaurant Chinois, Restaurant Thaïlandais","Rn 117 3 Route Des Pyrénées, Mancioux",2
31002,Chez Kamila,ChIJqX05ogPDrhIR48xLNJtKL9s,"Restaurant De Pizzas, Restaurant De Restauration Rapide, Kebab","14 Rue Anatole France, Auterive",1
31002,M'grill,ChIJa_XEYDThrhIRyGb1FsCOtuw,"Restaurant De Restauration Rapide, Restaurant De Hamburgers, Kebab, Restaurant De Tacos","9 Rue Du Lion D'or, Saverdun",1
31002,Royal Kebab,ChIJnSG8aHzhrhIRhCltfDJiauI,Restaurant De Restauration Rapide,"3 Rue Sarrut, Saverdun",1
31002,Kmc,ChIJhZ667Q_DrhIR-P0AQdSwxyA,"Restaurant De Restauration Rapide, Restaurant De Hamburgers, Kebab, Restaurant De Tacos","40 Rue Jean Jaurès, Auterive",1
31002,La Street Kebab,ChIJ9yo3FdTzrhIRNmAKlysIN-I,Restaurant De Restauration Rapide,"Pl. Godefroy Calès, Villefranche-de-Lauragais",1
31002,O'connor,ChIJ1VaE0aHlrhIRVZM4CVcQhSc,"Restaurant, Magasin De Bière, Café, Bar À Cocktails, Restaurant Français, Pub, Bar À Vin","1 Rue De La République, Calmont",0
31002,Le Gabelois,ChIJ9dXcj-TnrhIR_hbWUguJ5I4,"Restaurant Français, Café","3 Rue De La République, Cintegabelle",0
31002,La Ferme De Champreux,ChIJR6lvTk3urhIRadnv3uGGPbg,"Restaurant, Salle De Banquet, Traiteur, Restaurant Français, Salle De Réception, Séminaire, Buffet De Mariage, Lieu De Mariage","253 Chem. De La Thésauque, Montgeard",0
31002,Ma Table,ChIJtXIfvVvurhIRuA5plOcJUJw,Restaurant Français,"Montgay, Nailloux",0
31002,Brasserie Club 15,ChIJTRS8CeLurhIRAMGkEOhNBu4,"Restaurant, Restaurant Français","Village Des Marques Le Grill, Nailloux",0
31002,Ôh Saveurs Du Vietnam,ChIJR_tRaXPvrhIR0GN0TN0KAvo,Restaurant Vietnamien,"22 Rue De La République, Nailloux",2
31002,Couleurs D'asie,ChIJv0nJotDmrhIRCjNrS_EdGbg,Restaurant Asiatique,"Unnamed Road Parc Commercial St Martin De Peyrelade, Saverdun",2
31002,Délices De Pékin Auterive,ChIJH-qDkAPDrhIR_GugleNKIUQ,"Restaurant Chinois, Restaurant Asiatique","6 Rue Charles De Gaulle, Auterive",2
31002,Palais D'asie,ChIJCUBbcxDDrhIRo_ym2zR0LHs,"Restaurant Asiatique, Restaurant Chinois","39 Rte D'espagne, Auterive",2
31002,Sushi Mi,ChIJu3BCIFXDrhIRL9xMX_dRe1E,"Restaurant Japonais, Restaurant De Sushis","35 Rue Ferdinand Buisson, Auterive",2
31003,Kebab Tacos Saint Orens,ChIJ_V3v-9yVrhIRjnsEtIdaF9w,"Restaurant, Restaurant Américain, Restaurant De Restauration Rapide, Restaurant De Hamburgers","1 Rue Des Lauriers, Saint-Orens-de-Gameville",1
31003,Le Comptoir De Rosemonde Restaurant,ChIJwcDGhAC9rhIRZqZllTq6-Hk,"Restaurant, Restaurant Africain, Pâtisserie, Restaurant Caribéen, Restaurant Créole, Restaurant Sans Gluten, Restaurant Halal, Glacier, Pâtisserie","797 Rue Max Planck, Labège",1
31003,Nachos,ChIJv_1sGk2_rhIR8RFh2eiJYOM,"Restaurant De Restauration Rapide, Restaurant De Burritos, Restaurant Halal, Restaurant De Livraison, Restaurant À Emporter, Restaurant De Plats De Viande, Restaurant Pan-Latin, Restaurant De Tacos, Restaurant Tex-Mex, Restaurant Végétarien","700 La Pyrénéenne, Labège",1
31003,Franks Hot Dog - Toulouse Labège,ChIJvZgUJ6O_rhIRQJ715DBQ28Q,"Restaurant, Boutique De Beignets, Restaurant De Restauration Rapide, Restaurant Halal, Restaurant De Hot-Dogs, Stand De Hot-Dogs","Centre Commercial Carrefour Labège 2, Labège",1
31003,Marmara Grill Kebab,ChIJEZpjzL-_rhIRof1a0nc3LTw,"Restaurant Turc, Restaurant Barbecue","227 Rue Pierre Gilles De Gennes, Labège",1
31003,Le Chai De Fages,ChIJd-46ojGRrhIRQxsVculTq_Y,"Restaurant Français, Restaurant Haut De Gamme Français","32 Av. De Lanta, Drémil-Lafage",0
31003,Mcdonald's,ChIJiWjFdDmXrhIR7PnLYrSekaw,"Restaurant De Restauration Rapide, Restaurant Américain, Restaurant De Hamburgers, Restaurant De Pizzas, Restaurant, Sandwicherie","24, Bis, Flourens",0
31003,Le Paille En Queue,ChIJPzuzAaqWrhIRUIg8fxGRamI,"Restaurant, Restaurant Français","2 Av. Pierre Georges Latécoère, Sainte-Foy-d'Aigrefeuille",0
31003,Poivre Et Scène,ChIJ9y35_82QrhIRj9lnkOC6Khk,"Restaurant Français, Bar","20bis All. De L'église, Drémil-Lafage",0
31003,Le Kabestan,ChIJl4eA-QSXrhIR4VeFmtkNZ00,"Restaurant, Restaurant Français","1 Chemin Du Lac, Flourens",0
31003,Bánh Mì Lover,ChIJWciN0tKRrhIRNeQp93R95ZA,"Restaurant, Restaurant Asiatique, Restaurant De Restauration Rapide, Restaurant Du Déjeuner, Restaurant Végétarien","1 Chem. De Chastel, Drémil-Lafage",2
31003,Zen Asie Restaurant,ChIJY1M5PISVrhIRPeeT_FpVLPI,"Restaurant, Restaurant Vietnamien","5 Rue Des Lauriers, Saint-Orens-de-Gameville",2
31003,Jap’n Wok Saint Orens De Gameville,ChIJu8GpbwaXrhIRt-4FXgqW7hA,"Restaurant Japonais, Restaurant De Sushis","48 Av. De Gameville, Saint-Orens-de-Gameville",2
31003,Nem Viet 48 Avenue De Gameville Saint Orens,ChIJodv8Oi2XrhIR5mbI417mo0U,Restaurant Vietnamien,"48 Av. De Gameville, Saint-Orens-de-Gameville",2
