respondent.commune,business_name,place_id,fr_categories,business_address,treatment_arm
Antony,Chez Loulou,ChIJEU25Z2535kcRspwCBYl6HYA,"Restaurant Libanais, Pâtisserie, Sandwicherie","11 Av. Du President Kennedy, Massy",1
Antony,My Poulet Braisé,ChIJGUV_MpJ35kcRprtp3VmZ_t0,"Restaurant De Restauration Rapide, Restaurant Halal","209 Av. Du Maréchal Leclerc, Massy",1
Antony,La Nostra,ChIJ_eVkWRp35kcR1UPw3FkEh-A,"Restaurant Halal, Restaurant De Couscous, Restaurant De Restauration Rapide, Restaurant De Hamburgers, Restaurant De Livraison, Livraison De Pizzas, Restaurant De Pizzas, Restaurant, Service D'expédition","68 Av. De La Division Leclerc, Antony",1
Antony,Indian Palace,ChIJ_QFkzBp35kcR4lnMpZENUHw,"Restaurant Indien, Dîner, Restaurant Halal, Restaurant De Livraison, Restaurant À Emporter, Restaurant","83 Av. De La Division Leclerc, Antony",1
Antony,La Beyrouthine,ChIJS7PMzhp35kcR8rMgQCZ1zpI,Restaurant Libanais,"96 Av. De La Division Leclerc, Antony",1
Antony,Restaurant Joseph,ChIJbzQ2JOh35kcRdMcOT-Ld33w,"Restaurant Français, Restaurant Européen, Restaurant Méditerranéen, Restaurant Français Moderne, Restaurant, Cave À Vin","4b Rue Des Petits Ruisseaux, Verrières-le-Buisson",0
Antony,Restaurant Antoinette,ChIJI1zOLm535kcRrrBC4waSFN8,"Restaurant, Restaurant Français, Restaurant Italien, Restaurant De Pizzas","4b Rue Des Petits Ruisseaux, Verrières-le-Buisson",0
Antony,Loulou Antony,ChIJC2iDN5B35kcRAZekqgKvJrk,"Restaurant, Café D'art, Bar, Brasserie, Restaurant Brunch, Café, Restaurant De Poisson-Frites, Restaurant De Hamburgers, Magasin De Jus, Bar Sportif","12 Pl. Du Marché, Antony",0
Antony,Les Galopins,ChIJIcBqRhp35kcRdYDdWxKAMmI,"Restaurant Français, Brasserie","56 Av. De La Division Leclerc, Antony",0
Antony,Jules Bistrot Gourmand,ChIJRwhXgBZ35kcRMZfxiDrBmZc,"Restaurant, Bistro, Restaurant Français, Restaurant Français Moderne, Cave À Vin","8 Rue De L'église, Antony",0
Antony,Narisawa,ChIJq6rOPwZ35kcRwvPnG5lYB0E,"Restaurant Japonais, Restaurant De Sushis","177 Av. De La Division Leclerc, Antony",NA
Antony,Tiger Asian Food,ChIJgzNKjMl35kcRE6xIGw1c3Gk,"Restaurant, Restaurant Asiatique, Restaurant Japonais, Restaurant Coréen, Restaurant Mandarin, Restaurant Panasiatique, Restaurant Thaïlandais, Restaurant Vietnamien, Restaurant De Wok","142 Av. Aristide Briand, Antony",NA
Antony,Chez Quyên-Chi,ChIJjWRE-hp35kcRflP8geJ6b2g,Restaurant Vietnamien,"53 Av. De La Division Leclerc, Antony",NA
Antony,Saïgon,ChIJ1SvMS_125kcR7iUoRKYXXl8,"Restaurant Vietnamien, Restaurant Asiatique, Restaurant Chinois, Restaurant","2 Rue Des Rabats, Antony",NA
Antony,Pho Antony,ChIJjwY9xgd35kcRCtOMRy_MUG8,"Restaurant Vietnamien, Bar, Brasserie, Brasserie, Café, Restaurant Pho","205 Av. De La Division Leclerc, Antony",NA
Asnières-sur-Seine,Le Riyad Khalti,ChIJWVQrPvVl5kcRY01S-Rv4Rfg,"Restaurant Marocain, Restaurant De Restauration Rapide","176 Av. D'argenteuil, Asnières-sur-Seine",1
Asnières-sur-Seine,Stone House,ChIJVVXJ5F9v5kcRbZ9jn4fI4Ss,Restaurant Marocain,"177 Bd Voltaire, Asnières-sur-Seine",1
Asnières-sur-Seine,Restaurant L'espoir,ChIJ7aRUqmFv5kcRDbKz22pdto4,Restaurant Marocain,"9 Bd Voltaire, Asnières-sur-Seine",1
Asnières-sur-Seine,Maison D'alep,ChIJy6ewKGNv5kcRfF8kQ5LJ_JA,Restaurant Syrien,"65 Av. De La Marne, Asnières-sur-Seine",1
Asnières-sur-Seine,Poke Up Asnieres - Poke Bowl & Bubble Tea,ChIJK4MyXvJv5kcROhp5AzwA6WY,"Restaurant Hawaïen, Magasin De Thé Aux Perles, Café, Espace De Coworking, Restaurant De Restauration Rapide, Restaurant Halal, Poké Bar, Magasin De Salades, Restaurant Libre-Service, Salon De Thé","27 Gd Rue Charles De Gaulle, Asnières-sur-Seine",1
Asnières-sur-Seine,Rhapsody,ChIJQaIteItl5kcRPDHy4O9QUN8,"Restaurant, Bar, Restaurant Français","118 Rue De Colombes, Asnières-sur-Seine",0
Asnières-sur-Seine,Gourmet's Café,ChIJG7Yv1mVv5kcRUEdNxM3qohg,"Restaurant Brunch, Bistro, Café, Restaurant","30 Rue De Bretagne, Asnières-sur-Seine",0
Asnières-sur-Seine,Chez Nous,ChIJQVD9tWZv5kcRS3wYuHPNhx8,Brasserie,"34 Rue Du Révérend Père Christian Gilbert, Asnières-sur-Seine",0
Asnières-sur-Seine,Restaurant L'appart,ChIJQfDiV2Vv5kcR25Y16BFehyk,Restaurant Français,"105 Quai Du Dr Dervaux, Asnières-sur-Seine",0
Asnières-sur-Seine,Saisons - Cuisine Du Marché,ChIJnwaUO2Vv5kcReYlzujGt1VM,"Restaurant, Restaurant Français, Restaurant Français Moderne","50 Rue Du Château, Asnières-sur-Seine",0
Asnières-sur-Seine,Hanh,ChIJZeVW6Xxv5kcRgvEgs4rUrQ0,"Restaurant Vietnamien, Restaurant","28 Rue De Normandie, Asnières-sur-Seine",NA
Asnières-sur-Seine,Restaurant Vietnamien Hanoi,ChIJW6C6XPVl5kcR4f54XZyjGgc,"Restaurant Vietnamien, Restaurant Asiatique","198 Bd Voltaire, Asnières-sur-Seine",NA
Asnières-sur-Seine,Nouilles 92,ChIJ-ZbtmmRv5kcRBCUlCQurKA0,Restaurant Chinois,"26 Rue Bapst, Asnières-sur-Seine",NA
Asnières-sur-Seine,Bistro Thaï,ChIJZeKln3xv5kcRMqyiCxdezdA,Restaurant Thaïlandais,"20 Gd Rue Charles De Gaulle, Asnières-sur-Seine",NA
Asnières-sur-Seine,Noo Wok,ChIJHXmLibFv5kcRJmSl6aGXOIw,"Restaurant Thaïlandais, Restaurant","47 Rue De Bretagne, Asnières-sur-Seine",NA
Bagneux,El Bibene,ChIJy1_uR3Rx5kcRDeVbG9wTAMs,Restaurant Tunisien,"10 Av. Henri Barbusse, Bagneux",1
Bagneux,Naan Stop,ChIJEcUf4SFx5kcRL7zuoKLPEWM,"Restaurant De Restauration Rapide, Restaurant De Hamburgers, Restaurant Indien, Kebab, Sandwicherie","108 Av. Albert Petit, Bagneux",1
Bagneux,Lanta Wok,ChIJYePQfe9x5kcRr0QQhALJADw,"Restaurant Thaïlandais, Restaurant Halal, Restaurant De Livraison, Restaurant","90 Av. Albert Petit, Bagneux",1
Bagneux,Point B Bagneux,ChIJ6WUVpKJx5kcR-3BbP969L6I,"Restaurant Halal, Restaurant De Restauration Rapide, Restaurant De Hamburgers","230 Av. Aristide Briand, Bagneux",1
Bagneux,Starsmash,ChIJEzGUQgBx5kcRnG0KdQjsf3M,Restaurant Halal,"121 Av. Henri Ravera, Bagneux",1
Bagneux,Le Sequoia,ChIJxTUdAsNw5kcRKpRWFio9ojY,"Restaurant Français, Restaurant","2 Rue Pablo Neruda, Bagneux",0
Bagneux,L'instant Gourmand,ChIJidv7DMJw5kcRwxM1f-xoYJQ,Restaurant Français,"7 Av. Henri Ravera, Bagneux",0
Bagneux,Le Dibier,ChIJR9oVI_tx5kcRgyu9cGV517U,Restaurant Barbecue,"79 Av. Henri Ravera, Bagneux",0
Bagneux,Le Dampierre,ChIJ-a701Jtx5kcR50sXxzG_gHQ,Brasserie,"1 Av. Henri Ravera, Bagneux",0
Bagneux,La Ferme De Garlande,ChIJ4W7HG-Zw5kcReEGipJb2R_Y,"Café, Restaurant Français","21 All. Pablo Picasso, Bagneux",0
Bagneux,Restaurant Everest,ChIJdQTZtOBx5kcRljbys3eR2w8,"Restaurant Indien, Restaurant Népalais, Restaurant Tibétain","10 Av. Henri Ravera, Bagneux",NA
Bagneux,Z Sushi,ChIJZ2u0IuBw5kcR4AV7iipTGf8,Restaurant Japonais,"76 Rue Des Meuniers, Bagneux",NA
Bagneux,Muki Sushi,ChIJu1biO91w5kcRawgqoF8q4EQ,Restaurant Japonais,"2 Av. Albert Petit, Bagneux",NA
Bagneux,Sushi Hikari,ChIJdXbwRR9x5kcRj80e8vx2jiw,Restaurant Japonais,"142 Av. Aristide Briand, Bagneux",NA
Bagneux,Dream Sushi,ChIJhVF4BCdx5kcRXMh2h6qrc3E,"Restaurant De Sushis, Restaurant Régional Japonais","286 Av. Aristide Briand, Bagneux",NA
Bois-Colombes,Oriental Corner Couscous À Domicile Et Cuisine Marocaine,ChIJ-RHlRI5l5kcRFlbaHeU4M0c,"Restaurant Marocain, Bar Et Grill, Traiteur, Restaurant De Couscous","16 Rue Des Bourguignons, Asnières-sur-Seine",1
Bois-Colombes,Crêpe King,ChIJVVWFZY5l5kcRjpd2RSzM0oM,"Crêperie, Restaurant Américain, Dîner, Restaurant De Restauration Rapide, Restaurant Français, Restaurant Grec, Restaurant Halal, Restaurant De Hamburgers, Restaurant Indien, Kebab, Restaurant De Livraison, Restaurant, Sandwicherie, Service D'expédition","28 Rue Des Bourguignons, Asnières-sur-Seine",1
Bois-Colombes,Maison Kebab Canteen,ChIJvXpzeFVl5kcRXOzT4-Kmr8U,Restaurant,"28 Rue Des Bourguignons, Asnières-sur-Seine",1
Bois-Colombes,Little Beyrouth - Hoummos,ChIJeYI0L2dl5kcR6UBXeH-a3VI,Restaurant Libanais,"9 Rue D'estienne D'orves, Bois-Colombes",1
Bois-Colombes,Zemzem,ChIJrfw7YDhl5kcRDhwjhQvAqMk,"Restaurant Brunch, Restaurant De Petit-Déjeuner, Restaurant De Desserts, Dîner, Restaurant Halal, Restaurant De Raclette","3 Rue Victor Hugo, Bois-Colombes",1
Bois-Colombes,Rhapsody,ChIJQaIteItl5kcRPDHy4O9QUN8,"Restaurant, Bar, Restaurant Français","118 Rue De Colombes, Asnières-sur-Seine",0
Bois-Colombes,Le Chefson,ChIJARUMrIxl5kcRLW25WipNfbc,"Restaurant, Restaurant Gastronomique, Restaurant Français","17 Rue Charles Chefson, Bois-Colombes",0
Bois-Colombes,Cocottes,ChIJI7eU7iBl5kcRZR7k5lPuo4k,"Restaurant, Bistro, Restaurant Français, Restaurant Français Moderne","5 Rue Eugénie Carmignat, Bois-Colombes",0
Bois-Colombes,Mb Mon Bistrot,ChIJq6oaZZJl5kcRBmQAGdIx4IM,"Bistro, Bar, Restaurant Français","43 Rue Du Général Leclerc, Bois-Colombes",0
Bois-Colombes,Sista Place,ChIJlYhrYBJl5kcR8TejzSqnmus,Restaurant Brunch,"203 Av. D'argenteuil, Bois-Colombes",0
Bois-Colombes,Shinobi,ChIJzYPIb45l5kcRanZQJRx-pTg,Restaurant Japonais,"30 Rue Des Bourguignons, Asnières-sur-Seine",NA
Bois-Colombes,Msushi - Bois Colombes - Cantine Japonaise,ChIJ68irVppl5kcRhl-x-tzcnmg,Restaurant Japonais,"51 Rue Charles Chefson, Bois-Colombes",NA
Bois-Colombes,Royal Bois Colombes,ChIJ2bnRPotl5kcRaru4qtZ_7Do,"Restaurant, Bar, Restaurant Chinois, Restaurant Thaïlandais","105 Rue Des Bourguignons, Bois-Colombes",NA
Bois-Colombes,Côté Sushi Bois-Colombes,ChIJ-7HbZoxl5kcR5eWtwSl6OMw,"Restaurant De Sushis, Restaurant Asiatique, Restaurant De Poissons, Restaurant Fusion, Restaurant Japonais, Restaurant Panasiatique, Restaurant Péruvien, Sushis À Emporter","65 Rue Des Bourguignons, Bois-Colombes",NA
Bois-Colombes,Sushi Château,ChIJz9kdkIxl5kcRZvGHFga6mU8,Restaurant Japonais,"8 Rue Victor Hugo, Bois-Colombes",NA
Boulogne-Billancourt,La Médina,ChIJeUXooON65kcRoevImjA4EnY,Restaurant Marocain,"110 Av. Du Général Leclerc, Boulogne-Billancourt",1
Boulogne-Billancourt,Usta,ChIJq6p-meN65kcRuz-q-o3PxyE,Restaurant Turc,"100 Av. Du Général Leclerc, Boulogne-Billancourt",1
Boulogne-Billancourt,Chez Madeleine,ChIJV557UMJ65kcR7jC6vni5PKU,"Restaurant Libanais, Restaurant Méditerranéen","39 Rue De Paris, Boulogne-Billancourt",1
Boulogne-Billancourt,Les Saveurs Du Maroc,ChIJW_45M8B65kcRaHW1BzRH3Hk,"Restaurant Marocain, Restaurant Africain, Restaurant Tunisien","12 Rte De La Reine, Boulogne-Billancourt",1
Boulogne-Billancourt,Restaurant Le Tarbouche,ChIJveVhD_B65kcRgfV2Qgx__yY,"Restaurant Marocain, Restaurant Familial","4 Rue Yves Kermen, Boulogne-Billancourt",1
Boulogne-Billancourt,L'arcouest,ChIJl0OCkeJ65kcRb8ezJLn1VyM,"Restaurant Français, Bar, Brasserie, Bar À Cocktails, Café, Restaurant À Emporter, Brasserie, Bar Sportif, Bar À Vin","100 Rue De Sèvres, Boulogne-Billancourt",0
Boulogne-Billancourt,Le Michelet,ChIJL5ZUbh575kcR5lWK6fJMtSg,"Bistro, Restaurant Français","67 Rue De Sèvres, Boulogne-Billancourt",0
Boulogne-Billancourt,Big Fernand,ChIJNZL81R175kcRaXu48FwoDM8,"Restaurant De Hamburgers, Restaurant Américain, Restaurant Familial, Restaurant De Restauration Rapide, Restaurant Français, Restaurant De Livraison, Restaurant À Emporter, Restaurant","60 Rue De Sèvres, Boulogne-Billancourt",0
Boulogne-Billancourt,Mon Bistrot,ChIJ1wZYL5V65kcRKJwgI4HqG9U,"Bistro, Restaurant Gastronomique, Restaurant","33 Rue Marcel Dassault, Boulogne-Billancourt",0
Boulogne-Billancourt,La Grange,ChIJi3GCwB575kcRd4K9SoRUK6E,Restaurant Français,"34 Bis Quai Alphonse Le Gallo, Boulogne-Billancourt",0
Boulogne-Billancourt,Tokoyama,ChIJ--fjcx575kcRDUEI4NtoJYk,Restaurant Japonais,"56-58 Rue De Sèvres, Boulogne-Billancourt",NA
Boulogne-Billancourt,Good Morning Vietnam,ChIJNZL81R175kcRerDUXAaoHr8,Restaurant Vietnamien,"60 Rue De Sèvres, Boulogne-Billancourt",NA
Boulogne-Billancourt,Frères Zhou,ChIJ88UAtup65kcRM0E4zL7QMdo,"Restaurant Chinois, Restaurant Asiatique","26 Av. Édouard Vaillant, Boulogne-Billancourt",NA
Boulogne-Billancourt,Restaurant Kayani,ChIJzyshBeV65kcRZ8k1EfwQx6o,Restaurant Indien,"8 Pl. De Bir Hakeim, Boulogne-Billancourt",NA
Boulogne-Billancourt,Shiki Boulogne-Billancourt,ChIJ7TB9D-p65kcRtjz6L2S9rmk,"Restaurant Japonais, Restaurant, Restaurant De Sushis","Angle, Boulogne-Billancourt",NA
Bourg-la-Reine,Mezzé Du Village,ChIJNfcYpRNx5kcRxI83Snw07Ns,Restaurant Libanais,"3 Rue René Roeckel, Bourg-la-Reine",1
Bourg-la-Reine,Pizza Time Bourg La Reine,ChIJQVOw6ntx5kcR5uXFaiP6TVk,"Restaurant De Pizzas, Restaurant Halal, Livraison De Pizzas, Pizza À Emporter, Restaurant","6 Bd Du Maréchal Joffre, Bourg-la-Reine",1
Bourg-la-Reine,Chez Memo,ChIJNca49NVw5kcRx3_gnA7GtbY,"Kebab, Restaurant De Restauration Rapide","94 Av. Du Général Leclerc, Bourg-la-Reine",1
Bourg-la-Reine,Kebab King,ChIJm7YQISBx5kcRIH2M_pK0AJo,Kebab,"19 Av. Du Général Leclerc, Bourg-la-Reine",1
Bourg-la-Reine,Le Royal,ChIJdYYZG8Nx5kcRm1388FIAahA,"Restaurant Marocain, Restaurant De Couscous","78 Av. De Bourg La Reine, Bagneux",1
Bourg-la-Reine,Le Vieux Bourg,ChIJwT-usdVw5kcR6i6GboNE_uE,"Brasserie, Bar, Bistro, Restaurant Français","72 Bd Du Maréchal Joffre, Bourg-la-Reine",0
Bourg-la-Reine,Crêperie De L’ancienne Poste,ChIJN98uSBdx5kcRTl3frHfSyVc,"Restaurant Français, Crêperie","98 Av. Du Général Leclerc, Bourg-la-Reine",0
Bourg-la-Reine,Archie - Bourg-La-Reine,ChIJ1yGaUOhx5kcRdFo2wECsmos,"Restaurant, Restaurant Australien, Restaurant Brunch, Café, Dîner","68 Bd Du Maréchal Joffre, Bourg-la-Reine",0
Bourg-la-Reine,Le Grove,ChIJJ4e6XR1x5kcRSo1uvmUrlW4,"Brasserie, Bar","97 Av. Du Général Leclerc, Bourg-la-Reine",0
Bourg-la-Reine,Doughnuts Factory,ChIJ49kmCABx5kcRpk2s_p_Z8yM,Restaurant Américain,"23 Rue De La Bièvre, Bourg-la-Reine",0
Bourg-la-Reine,Hatori,ChIJJaqpySdx5kcRIZNeRi1OV3E,"Restaurant Japonais, Restaurant De Sushis","5 Av. Du Général Leclerc, Bourg-la-Reine",NA
Bourg-la-Reine,Aux Saveurs De L'inde,ChIJIT9luixx5kcRrNx_qLFJ1vo,"Restaurant Indien, Traiteur","39 Av. Galois, Bourg-la-Reine",NA
Bourg-la-Reine,Fou Lo,ChIJH_M5bChx5kcRiSU_03mEZMA,"Restaurant De Fondue Chinoise, Restaurant Asiatique, Restaurant Chinois, Restaurant Thaïlandais","27 Av. Du Général Leclerc, Bourg-la-Reine",NA
Bourg-la-Reine,Fusion N'rolls Sushi,ChIJuxsMm9Vw5kcRwBuSwnnPJos,"Restaurant Japonais, Restaurant De Sushis","106 Av. Du Général Leclerc, Bourg-la-Reine",NA
Bourg-la-Reine,Le Séoul,ChIJoX707kVx5kcRHN197fFqdIU,Restaurant De Barbecue Coréen,"80 Av. Du Général Leclerc, Bourg-la-Reine",NA
Châtenay-Malabry,Restaurant Franco Italien,ChIJq7uvEOV55kcRawJhHwt9Zj0,Restaurant Halal,"358 Av. De La Division Leclerc, Châtenay-Malabry",1
Châtenay-Malabry,Restaurant El Bahia,ChIJDU_b91d35kcRLHmzkZGv9w0,Restaurant Marocain,"192 Av. De La Division Leclerc, Châtenay-Malabry",1
Châtenay-Malabry,Cedre D'or,ChIJ_W0DMux35kcRtom1FPVUzcg,Restaurant Libanais,"1 Chem. De La Croix Blanche, Châtenay-Malabry",1
Châtenay-Malabry,Caribbean Bokit Factory Châtenay,ChIJFVVonft55kcROwWuK19lnDM,"Restaurant Caribéen, Restaurant De Restauration Rapide, Restaurant Halal","354 Av. De La Division Leclerc, Châtenay-Malabry",1
Châtenay-Malabry,O'dwich 92,ChIJ910TcON55kcRo14RnWZumLg,"Restaurant, Restaurant De Kebab Doner, Restaurant De Hamburgers, Restaurant De Pizzas, Restaurant De Tacos","2 Rue Paul Gauguin, Châtenay-Malabry",1
Châtenay-Malabry,Brasserie Les 3 Marches,ChIJbTLoHVl35kcR1kj9zH00X5k,"Brasserie, Bar, Café, Restaurant Français","207 Av. De La Division Leclerc, Châtenay-Malabry",0
Châtenay-Malabry,Brasserie Du Parc,ChIJl7ADc1B35kcR9zQBcCSnUrU,"Brasserie, Bar, Restaurant Français","96 Rue Jean Longuet, Châtenay-Malabry",0
Châtenay-Malabry,Le Voltaire,ChIJJbIml1p35kcR-gkJRrW1hug,"Brasserie, Bar","1 Rue Voltaire, Châtenay-Malabry",0
Châtenay-Malabry,Burger King,ChIJmVHg2fJ55kcRt2JQu1eh4NU,"Restaurant De Restauration Rapide, Restaurant Américain, Bar Et Grill, Restaurant Familial, Restaurant De Hamburgers, Restaurant À Emporter","359 Av. De La Division Leclerc, Châtenay-Malabry",0
Châtenay-Malabry,L'horizon,ChIJT8cmaVl35kcR48p7HpQIXvQ,"Restaurant, Bar, Crêperie, Restaurant De Fondue, Restaurant De Pizzas, Pizza À Emporter, Restaurant De Raclette","193-197 Av. De La Division Leclerc, Châtenay-Malabry",0
Châtenay-Malabry,Yamasa 92,ChIJ5U5TFu555kcRu41RJpcmZoI,"Restaurant Japonais, Restaurant De Sushis","416 Av. De La Division Leclerc, Châtenay-Malabry",NA
Châtenay-Malabry,Yuzu,ChIJ8zAfdo535kcRobxu2mrwTPw,Restaurant Asiatique,"159-163 Av. De La Division Leclerc, Châtenay-Malabry",NA
Châtenay-Malabry,Le Bangalore,ChIJv9iXWw135kcRW1dHdx4OSKI,Restaurant Indien,"197 Av. De La Division Leclerc, Châtenay-Malabry",NA
Châtenay-Malabry,Royal Sushi,ChIJ67RtFOV55kcRiw0XckMNULQ,"Restaurant Japonais, Restaurant Asiatique, Restaurant Chinois, Restaurant De Sushis","362 Av. De La Division Leclerc, Châtenay-Malabry",NA
Châtenay-Malabry,Chez Lily,ChIJ8STMbFB35kcRuCwg-izvHQo,"Plats Chinois À Emporter, Restaurant Chinois","84 Rue Jean Longuet, Châtenay-Malabry",NA
Châtillon,La Casbah Des Délices,ChIJhwPj-8hx5kcR1ihSh3SQQ58,Restaurant Algérien,"10 Rue Gabriel Péri, Châtillon",1
Châtillon,Kotlet - Boucherie & Restaurant Châtillon,ChIJo8HjHadx5kcR4DQutsBCSIg,"Restaurant, Boucherie Charcuterie, Traiteur, Charcuterie, Restaurant Halal, Restaurant À Emporter, Boucherie","88 Av. De Paris, Châtillon",1
Châtillon,Sushi In Châtillon,ChIJAexyQJFw5kcRBNsG8Ku_M_Y,"Restaurant De Sushis, Restaurant De Sushis À Tapis Roulant, Restaurant Halal, Restaurant Japonais, Restaurant De Livraison, Sushis À Emporter, Restaurant Végétarien","12 Rue Gabriel Péri, Châtillon",1
Châtillon,La Parisienne,ChIJF5XZtLFx5kcR5GF6xn0bZKk,"Boulangerie, Restaurant De Petit-Déjeuner, Pâtisserie, Restaurant Français, Restaurant Halal, Restaurant Du Déjeuner, Pâtisserie","88 Av. De Paris, Châtillon",1
Châtillon,Don'air,ChIJcfdsnJJw5kcRjapbIcOscGg,Kebab,"80 Av. De Paris, Châtillon",1
Châtillon,Les Canailles Bistro Chatillonnais,ChIJGWF6PZBw5kcRqIX3m_5zGKI,"Restaurant, Bistro, Restaurant Français","49 Bd De Vanves, Châtillon",0
Châtillon,Le Barbezingue,ChIJrfH-X5Fw5kcRvLfku8-iYDI,"Restaurant, Bar, Restaurant Français","14 Bd De La Liberté, Châtillon",0
Châtillon,C'est Mon Plaisir,ChIJG8g-t0xw5kcRF9JlDiMA_5w,"Restaurant Français, Café, Restaurant De Restauration Rapide, Restaurant","35 Rue Gabriel Péri, Châtillon",0
Châtillon,Le Castellio,ChIJs9GMbpFw5kcRbE2NeKhLQTc,"Restaurant, Restaurant Français, Brasserie","3 Av. De Verdun, Châtillon",0
Châtillon,Le Saint Malo,ChIJawPRhpFw5kcRGyJi6ilPcQY,Restaurant Français,"3 Rue Victor Hugo, Châtillon",0
Châtillon,Le Neuf De Thaï,ChIJq7vqf5Fw5kcR_9Qri1ehAMw,"Restaurant Thaïlandais, Restaurant Asiatique","12 Av. De Paris, Châtillon",NA
Châtillon,Le Commerce Brasserie Et Restaurant Thaïlandais,ChIJpWrVeJFw5kcR0t_FDxXaKFE,"Restaurant Thaïlandais, Bar","France, Châtillon",NA
Châtillon,Etoile De L'inde,ChIJ6bYal5Zw5kcRvfWnrhdnOHg,Restaurant Indien,"11 Rue De La Mairie, Châtillon",NA
Châtillon,Chez Shan,ChIJM2HGGpdw5kcRPisu90BAwrk,Restaurant Chinois,"72 Rue Gabriel Péri, Châtillon",NA
Châtillon,Le Jade Royal,ChIJdYsSQJFw5kcRcwhnd-BT0kI,"Restaurant Asiatique, Restaurant Chinois, Restaurant Thaïlandais","10 Rue Gabriel Péri, Châtillon",NA
Chaville,King Food,ChIJDXx46Yp75kcRbyTnWYB65LI,Kebab,"8 Bd De La Libération, Viroflay",1
Chaville,Le Palais D'ali Baba,ChIJRVmFioh75kcRYSvuRd_TWOk,"Restaurant Marocain, Bar","1712 Av. Roger Salengro, Chaville",1
Chaville,Anamour Grill,ChIJT8QL-BV75kcRhFt_odRCR3w,Restaurant Turc,"136 Grande Rue, Sèvres",1
Chaville,Mando's,ChIJrcvzw3R75kcRvgh_M82PwbM,"Restaurant De Restauration Rapide, Restaurant Halal, Restaurant De Hamburgers, Restaurant De Tacos","130 Grande Rue, Sèvres",1
Chaville,Tacoshake,ChIJ___7w3R75kcR4wmsRhCvwm8,Restaurant De Tacos,"130 Grande Rue, Sèvres",1
Chaville,Chez Henriette,ChIJhThR0ed65kcRQ3W5e1ucJD4,Restaurant Français,"14 Pl. De Verdun, Viroflay",0
Chaville,Au Bureau,ChIJe4ovFcR75kcRnQNyKUiQaJM,"Restaurant, Bar, Restaurant Européen, Restaurant Français, Restaurant De Hamburgers, Restaurant Irlandais, Pub, Bar Sportif","2 Parv. Robert Schuman, Chaville",0
Chaville,Les Burgers De Colette - Chaville,ChIJF1zetYF75kcRDGUNjA7q7Og,"Restaurant De Hamburgers, Restaurant Américain, Restaurant Familial, Restaurant De Restauration Rapide, Restaurant Français, Restaurant De Livraison, Restaurant À Emporter, Restaurant, Snack-Bar","19 Rue De Jouy, Chaville",0
Chaville,Café Du Théâtre,ChIJGz8OgIN75kcRz3_lvmhftnA,Brasserie,"840 Av. Roger Salengro, Chaville",0
Chaville,La Pergola,ChIJ-UTgyux75kcR6QvqxNk0K4Q,"Restaurant, Restaurant Français","15 Rte Sablée, Chaville",0
Chaville,Palais Nippon,ChIJs-hm6op75kcRp7oC5czDcFw,"Restaurant Japonais, Restaurant De Sushis","3 Bd De La Libération, Viroflay",NA
Chaville,Yamada Restaurant,ChIJTZnhIoN75kcRItYoBJYw0rg,"Restaurant Japonais, Restaurant Coréen, Restaurant, Restaurant De Sushis","585 Av. Roger Salengro, Chaville",NA
Chaville,Le Palais De Maharajah,ChIJX_4V3ol75kcRhMQPcPzuByM,Restaurant Indien,"2049 Av. Roger Salengro, Chaville",NA
Chaville,Bollywood,ChIJ8SMCHSJ75kcRu1ZI7SJ8Kqg,"Restaurant Indien, Restaurant Pakistanais","Av. Roger Salengro 204, Chaville",NA
Chaville,Kim Yang,ChIJfVxWJ4N75kcRLMLcrvNBg2M,"Restaurant, Bar, Restaurant Chinois","536 Av. Roger Salengro, Chaville",NA
Clamart,Le Maroc,ChIJVX24k3R65kcRx2RfZ4P_lMw,"Restaurant, Restaurant Marocain","25 Bis Av. Jean Baptiste Clément, Clamart",1
Clamart,Le Marrakech,ChIJe0UYFg565kcRB7JeQPxemZs,"Restaurant Marocain, Bar","69 Rue De La Prte De Trivaux, Clamart",1
Clamart,La Méditerranéenne - Traiteur Libanais,ChIJVz3VAXN65kcRnLLgroUZUq8,Restaurant Libanais,"5 Rue Du Trosy, Clamart",1
Clamart,Restaurant Destan,ChIJHW4hC3R65kcRoVj_CmswX_o,"Restaurant Familial, Restaurant De Restauration Rapide, Kebab, Restaurant, Restaurant Turc","5 Av. Jean Baptiste Clément, Clamart",1
Clamart,Kilikia Clamart - Traiteur Libanais,ChIJi2b-0nN65kcRvDbaqyP-jBM,"Traiteur, Restaurant De Restauration Rapide, Restaurant Libanais, Salon De Thé","25 Av. Jean Jaurès, Clamart",1
Clamart,Brasserie Bonheur,ChIJvUg3AwB75kcRumaTP8Vziho,"Restaurant Français, Bar, Bar À Cocktails, Restaurant Familial, Restaurant Du Déjeuner, Brasserie, Restaurant Traditionnel","2 Av. Jean Jaurès, Clamart",0
Clamart,L'amandier,ChIJmf92-nV65kcRh3KNu4H1XdQ,Restaurant Français,"46 Rue De Châtillon, Clamart",0
Clamart,Brasserie Café Restaurant Les Frangins Clamart,ChIJdXRXPAB75kcRQQIIBRNYou0,"Restaurant Français, Bar","23 Rue Paul Vaillant Couturier, Clamart",0
Clamart,Cinq,ChIJRT_Cqcp75kcRu3YUki2LSck,"Restaurant, Restaurant Français","5 Rue Hébert, Clamart",0
